zfs_config,timestamp,pattern,config,blocksize,filesize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
raidz1,1579470885573,randwrite,mach2_zfs_raidz1,16k,64G,1,180,0,0,0,0,2311356416,12840797,12550.077994,784.311978
raidz1,1579606764350,randwrite,mach2_zfs_raidz1,16k,64G,24,180,0,0,0,0,5766725632,32033093,1301.662896,81.302355
raidz1,1579615369019,randwrite,mach2_zfs_raidz1,16k,64G,28,180,0,0,0,0,5672681472,31499672,1096.536807,68.489498
raidz1,1579479020346,randwrite,mach2_zfs_raidz1,16k,64G,2,180,0,0,0,0,2291531776,12730237,6227.624826,389.069735
raidz1,1579487155228,randwrite,mach2_zfs_raidz1,16k,64G,4,180,0,0,0,0,3128229888,17378089,4241.663649,265.025766
raidz1,1579495761448,randwrite,mach2_zfs_raidz1,16k,64G,8,180,0,0,0,0,4028235776,22377347,2736.810622,171.024808
raidz1,1579505269231,randwrite,mach2_zfs_raidz1,1M,64G,12,180,0,0,0,0,264608153600,1470012630,119066.059546,116.240964
raidz1,1579598599421,randwrite,mach2_zfs_raidz1,1M,64G,16,180,0,0,0,0,273469669376,1518854037,92201.299826,89.982927
raidz1,1579471789558,randwrite,mach2_zfs_raidz1,1M,64G,1,180,0,0,0,0,273672044544,1520391800,1483818.458333,1448.997222
raidz1,1579607668666,randwrite,mach2_zfs_raidz1,1M,64G,24,180,0,0,0,0,266327818240,1479475700,59719.95709,58.259911
raidz1,1579616273724,randwrite,mach2_zfs_raidz1,1M,64G,28,180,0,0,0,0,257332084736,1428503698,49691.041136,48.469349
raidz1,1579479924257,randwrite,mach2_zfs_raidz1,1M,64G,2,180,0,0,0,0,246842130432,1371337550,667928.387187,652.249304
raidz1,1579488059256,randwrite,mach2_zfs_raidz1,1M,64G,4,180,0,0,0,0,269542752256,1497451415,365234.799582,356.64231
raidz1,1579496665524,randwrite,mach2_zfs_raidz1,1M,64G,8,180,0,0,0,0,278906535936,1549368856,188394.379514,183.937153
raidz1,1579505450477,randwrite,mach2_zfs_raidz1,2M,64G,12,180,0,0,0,0,268454330368,1490245587,120777.979692,58.90733
raidz1,1579598780535,randwrite,mach2_zfs_raidz1,2M,64G,16,180,0,0,0,0,281555238912,1563865622,95240.804077,46.439466
raidz1,1579471970555,randwrite,mach2_zfs_raidz1,2M,64G,1,180,0,0,0,0,273420386304,1518993707,1482733.841226,723.963788
raidz1,1579607849827,randwrite,mach2_zfs_raidz1,2M,64G,24,180,0,0,0,0,266971643904,1482492205,60124.353943,29.295307
raidz1,1579616455040,randwrite,mach2_zfs_raidz1,2M,64G,28,180,0,0,0,0,242887950336,1348845457,46821.499745,22.79297
raidz1,1579480105250,randwrite,mach2_zfs_raidz1,2M,64G,2,180,0,0,0,0,251565965312,1397565403,682475.478382,333.227336
raidz1,1579488240391,randwrite,mach2_zfs_raidz1,2M,64G,4,180,0,0,0,0,278564700160,1547074570,376333.866667,183.725694
raidz1,1579496846753,randwrite,mach2_zfs_raidz1,2M,64G,8,180,0,0,0,0,279126736896,1550549038,188051.754435,91.761043
raidz1,1579504545766,randwrite,mach2_zfs_raidz1,32k,64G,12,180,0,0,0,0,10394861568,57741852,4713.816103,147.265344
